word,Agreeableness,Extroversion,Conscientiousness,Neuroticism,Openness/Intellect
Humble,0.35,-0.21,0.12,-0.17,-0.12
Gullible,0.33,-0.1,-0.28,0.27,-0.18
Moral,0.33,-0.09,0.26,-0.02,-0.02
Honest,0.32,0.01,0.22,-0.17,0.04
Religious,0.31,0.01,0.17,0.06,-0.18
Passionate,0.31,0.2,-0.04,0.27,0.09
Optimistic,0.31,0.3,0.09,-0.24,0.02
Lenient,0.3,-0.15,-0.16,-0.15,0.07
Benevolent,0.3,-0.09,-0.04,-0.11,0.23
Unselfish,0.3,0.08,0.06,-0.22,0.05
Conscientious,0.3,-0.08,0.3,-0.02,0.19
Reverent,0.29,-0.01,0.2,0.06,-0.14
Tactful,0.29,-0.06,0.21,-0.02,0.21
Earnest,0.29,-0.03,0.07,-0.09,0.22
Adaptable,0.27,0.06,0.11,-0.24,0.13
Truthful,0.26,0.01,0.19,-0.22,0.1
Naïve,0.26,-0.2,-0.21,0.12,-0.18
Altruistic,0.25,0,-0.03,-0.06,0.22
Compliant,0.24,-0.19,-0.02,0.01,-0.04
Natural,0.23,0.09,0.03,-0.17,0.14
Suggestible,0.17,0,-0.06,0.07,-0.16
Selfless,0.13,-0.12,0,-0.12,0
Cold,-0.5,-0.33,0.03,-0.02,0.1
Harsh,-0.5,0.03,0.06,0.08,-0.05
Rude,-0.5,0.08,-0.15,0,0.06
Unsympathetic,-0.48,-0.14,-0.01,-0.16,0.01
Antagonistic,-0.47,-0.09,-0.09,0.19,-0.02
Abusive,-0.46,0.01,-0.11,-0.03,-0.11
Rough,-0.45,0.16,0.03,-0.23,-0.11
Inconsiderate,-0.43,-0.06,-0.29,-0.03,0.05
Egotistical,-0.42,0.12,-0.09,0.18,0.09
Combative,-0.42,0.19,0.07,0.04,-0.09
Callous,-0.41,-0.03,0.04,-0.11,-0.21
Domineering,-0.41,0.4,0.15,0.1,-0.02
Impolite,-0.41,0,-0.25,-0.17,0.15
Belligerent,-0.41,0.09,-0.03,0.11,-0.11
Ruthless,-0.41,0.09,0.01,-0.07,-0.16
Coarse,-0.41,0.01,-0.13,-0.1,-0.17
Abrupt,-0.41,0.12,-0.1,0.11,0.07
Insincere,-0.4,-0.08,-0.11,0.01,-0.07
Cruel,-0.4,0,-0.04,-0.06,0
Unkind,-0.4,-0.14,-0.09,-0.12,0.01
Insensitive,-0.39,-0.09,-0.04,-0.27,-0.02
Impersonal,-0.38,-0.31,0.06,-0.07,-0.02
Scornful,-0.38,-0.09,-0.04,0.19,-0.04
Uncharitable,-0.38,-0.14,0,0,-0.01
Cynical,-0.36,-0.17,-0.11,0.04,0.19
Bitter,-0.35,-0.21,-0.06,0.27,0.06
Uncooperative,-0.35,-0.02,-0.16,0.05,0.04
Demanding,-0.34,0.19,0.15,0.31,0
Egocentric,-0.34,0.04,-0.12,0.13,0.12
Conceited,-0.34,0.11,-0.12,0.18,0.16
Bigoted,-0.34,0.02,-0.07,0.05,-0.17
Intolerant,-0.34,0.04,0.04,0.28,-0.08
Unforgiving,-0.34,-0.12,-0.02,0.13,0.09
Disrespectful,-0.33,0,-0.31,-0.14,0.23
Tough,-0.33,0.15,0.13,-0.24,-0.05
Sly,-0.33,0.16,0.04,-0.01,0
Stubborn,-0.33,0.07,-0.04,0.23,0.05
Greedy,-0.33,-0.05,-0.12,0.27,0
Argumentative,-0.32,0.16,-0.02,0.22,0.01
Bullheaded,-0.32,0.15,-0.08,0.12,0.03
Boastful,-0.32,0.29,-0.1,0.17,-0.14
Critical,-0.32,-0.01,0.06,0.31,0.17
Rebellious,-0.3,0.15,-0.24,0.08,0.29
Deceitful,-0.3,0.03,-0.15,0.07,-0.06
Sarcastic,-0.3,0.03,-0.09,0.16,0.14
Underhanded,-0.29,0.08,-0.08,-0.05,-0.16
Vindictive,-0.29,0.03,0.05,0.11,-0.28
Suspicious,-0.29,-0.18,0.05,0.24,-0.04
Devious,-0.29,0.16,-0.1,0.09,-0.11
Thoughtless,-0.29,-0.07,-0.26,-0.09,0
Ungracious,-0.29,-0.16,-0.19,-0.15,0.01
Prejudiced,-0.28,-0.01,-0.03,0.07,-0.08
Uncouth,-0.28,0.02,-0.2,-0.18,-0.08
Tactless,-0.27,-0.01,-0.21,-0.06,-0.15
Manipulative,-0.27,0.16,0.08,0.13,0.02
Cunning,-0.27,0.22,0.09,-0.06,0.02
Opinionated,-0.26,0.22,0.07,0.11,0.03
Unruly,-0.26,0.22,-0.25,-0.07,-0.02
Rigid,-0.26,-0.11,0.24,0.01,-0.18
Obstinate,-0.26,0.03,-0.05,0.24,0.09
Stingy,-0.25,-0.13,0.04,0.22,0.01
Nonreligious,-0.25,-0.08,-0.16,-0.17,0.19
Smug,-0.24,0.01,0.01,0.1,-0.01
Skeptical,-0.24,-0.23,0.03,0.11,0.22
Vain,-0.23,0.05,-0.13,0.21,0.16
Irreverent,-0.18,-0.05,-0.14,-0.11,0.09
Crafty,-0.16,0.11,0.06,-0.1,-0.04
Masochistic,-0.14,-0.08,-0.06,-0.01,-0.08
Self-seeking,-0.11,0.05,0.04,0.07,0.08
Extroverted,0.06,0.64,-0.07,-0.01,0.07
Talkative,0.09,0.62,-0.15,0.13,-0.07
Aggressive,-0.3,0.61,0.09,0,0.02
Sociable,0.27,0.59,-0.01,-0.04,-0.07
Social,0.25,0.58,-0.04,0,-0.08
Assertive,-0.15,0.53,0.15,-0.08,0.14
Bold,-0.18,0.53,0.03,-0.19,0.05
Verbal,-0.03,0.53,-0.08,0.05,0.11
Enthusiastic,0.29,0.5,0.02,-0.03,-0.01
Spirited,0.23,0.49,-0.01,-0.02,0.1
Confident,-0.07,0.49,0.26,-0.32,0.1
Communicative,0.25,0.49,0.04,-0.02,0.1
Magnetic,0.22,0.48,-0.02,-0.05,0.17
Energetic,0.16,0.48,0.12,-0.13,0.02
Daring,-0.14,0.46,0,-0.2,0.02
Rambunctious,0,0.46,-0.15,0.06,-0.04
Outspoken,-0.14,0.45,-0.09,-0.03,0.21
Vivacious,0.31,0.44,0,0.03,0.1
Dominant,-0.36,0.44,0.2,0.05,0.09
Merry,0.38,0.44,-0.02,-0.15,-0.09
Unrestrained,-0.01,0.43,-0.17,-0.1,-0.02
Active,0.11,0.43,0.15,-0.14,0.02
Boisterous,-0.15,0.42,-0.15,-0.01,-0.07
Assured,0.01,0.42,0.23,-0.31,0.12
Uninhibited,-0.06,0.42,-0.16,-0.2,0.2
Playful,0.2,0.41,-0.12,-0.02,-0.09
Happy-go-lucky,0.21,0.4,-0.21,-0.22,-0.21
Vigorous,0.04,0.4,0.05,-0.15,0.12
Friendly,0.37,0.39,-0.03,-0.17,-0.16
Flamboyant,-0.04,0.39,-0.1,0.08,0.01
Adventurous,0,0.38,-0.04,-0.19,0.1
Expressive,0.12,0.38,0.06,0.14,0.22
Forceful,-0.34,0.38,0.15,-0.01,0.11
Carefree,0.18,0.37,-0.22,-0.22,-0.12
Flirtatious,0.03,0.36,-0.15,0.2,0
Competitive,-0.25,0.34,0.19,-0.03,-0.11
Mischievous,-0.1,0.34,-0.19,0.02,0.14
Direct,-0.07,0.33,0.14,-0.13,0.22
Spontaneous,0.09,0.33,-0.11,-0.04,0.25
Zealous,0.2,0.32,-0.03,0,0.08
Gregarious,0.07,0.32,-0.1,0.03,0.07
Exhibitionistic,-0.2,0.32,-0.17,0.06,0.05
Straightforward,-0.02,0.31,0.1,-0.19,0.19
Humorous,0.15,0.31,-0.09,-0.13,0.01
Frank,-0.08,0.31,0.02,-0.09,0.22
Opportunistic,-0.09,0.3,0.16,-0.04,0.01
Demonstrative,0.03,0.29,-0.07,0.01,0.15
Enterprising,-0.04,0.28,0.21,-0.19,0.27
Sexy,0.06,0.28,-0.01,0.07,0.17
Hearty,0.11,0.28,0.07,-0.24,0.02
Wordy,0,0.26,-0.09,0.17,0.04
Explosive,-0.25,0.25,-0.1,0.21,-0.04
Witty,-0.01,0.24,-0.03,-0.15,0.21
Persistent,-0.1,0.23,0.2,-0.01,0.12
Proud,-0.09,0.2,0.16,0.01,0.07
Impetuous,-0.04,0.17,-0.17,0.12,0.06
Intrusive,-0.13,0.16,-0.05,0.03,-0.14
Withdrawn,-0.05,-0.67,-0.04,0.02,0.08
Silent,0.07,-0.66,0.08,-0.08,-0.02
Introverted,0.02,-0.65,0.01,0.03,0.1
Shy,0.18,-0.65,0.06,0.03,-0.01
Quiet,0.15,-0.64,0.15,-0.09,0.12
Reserved,0.09,-0.6,0.22,-0.06,0.02
Timid,0.3,-0.6,-0.01,0.08,-0.11
Bashful,0.22,-0.59,0.05,0.03,-0.02
Unsociable,-0.17,-0.59,0.02,-0.04,0.16
Unaggressive,0.35,-0.57,-0.14,-0.07,0.06
Inhibited,0.09,-0.54,-0.02,0.15,-0.06
Uncommunicative,-0.18,-0.52,-0.07,-0.08,-0.01
Passive,0.22,-0.48,-0.06,-0.03,-0.19
Meek,0.22,-0.48,-0.08,0.02,-0.22
Restrained,0.12,-0.47,0.2,-0.1,0.03
Dull,-0.03,-0.46,-0.05,-0.02,-0.05
Bland,-0.02,-0.44,0.07,-0.09,-0.19
Sedate,0.07,-0.41,0.06,-0.11,-0.1
Somber,-0.09,-0.41,0.12,-0.03,-0.14
Melancholic,0,-0.4,-0.04,0.2,-0.09
Unfriendly,-0.28,-0.4,-0.03,-0.01,0.15
Unadventurous,0.1,-0.38,0.01,0.08,-0.08
Detached,-0.18,-0.37,-0.08,-0.12,0.07
Uncompetitive,0.29,-0.37,-0.18,-0.07,0.14
Submissive,0.34,-0.36,-0.09,0.11,-0.23
Cowardly,0.25,-0.36,-0.15,0.26,-0.05
Indirect,0.11,-0.35,-0.14,0.06,0.01
Pessimistic,-0.14,-0.35,-0.07,0.24,0.02
Negativistic,-0.31,-0.34,-0.08,0.31,-0.03
Placid,0.12,-0.34,0.1,-0.2,-0.04
Sluggish,-0.04,-0.33,-0.19,0.09,-0.11
Nonpersistent,0.16,-0.33,-0.23,-0.14,-0.04
Serious,0.03,-0.31,0.31,0.04,0.17
Aloof,-0.2,-0.3,-0.03,0.03,0.06
Vague,0.03,-0.28,-0.28,0.11,-0.07
Docile,0.24,-0.28,0.05,-0.04,-0.19
Secretive,-0.07,-0.28,0.02,0.11,-0.04
Unimaginative,0.05,-0.25,0,-0.07,-0.22
Wary,-0.06,-0.25,0.07,0.09,0.18
Lethargic,-0.07,-0.25,-0.19,0.04,-0.16
Unaffectionate,-0.15,-0.25,0,-0.22,0.13
Prudish,0.13,-0.24,0.15,0.12,-0.17
Apathetic,-0.08,-0.23,-0.04,-0.01,-0.18
Humorless,-0.06,-0.23,0.13,-0.1,-0.06
Impartial,0.08,-0.23,0.08,-0.17,0.12
Organized,0.08,-0.06,0.65,0.08,-0.02
Precise,-0.02,-0.01,0.61,-0.01,0.12
Responsible,0.28,-0.02,0.59,-0.06,0.08
Thorough,0.04,0,0.58,-0.11,0.13
Efficient,0.09,0.01,0.57,0,0.07
Orderly,0.08,-0.06,0.57,0.11,-0.06
Self-disciplined,0.12,0.01,0.55,-0.16,0.09
Practical,0.14,-0.08,0.54,-0.16,0.04
Systematic,0.05,-0.12,0.54,-0.04,0.08
Dependable,0.31,-0.05,0.51,-0.06,-0.01
Reliable,0.33,-0.02,0.49,-0.07,0.03
Exacting,-0.08,-0.02,0.47,0.02,0.1
Concise,0.05,0,0.46,-0.13,0.13
Careful,0.19,-0.22,0.46,0.01,0.01
Prompt,0.16,-0.03,0.46,0.05,-0.03
Logical,-0.03,-0.04,0.46,-0.22,0.27
Consistent,0.05,-0.03,0.45,-0.34,-0.07
Steady,0.17,-0.01,0.44,-0.33,0.06
Meticulous,0.01,-0.11,0.44,0.09,0.04
Decisive,-0.03,0.18,0.43,-0.22,0.15
Punctual,0.14,-0.08,0.4,0.04,0.03
Firm,-0.17,0.17,0.4,-0.15,0.08
Economical,0.14,-0.13,0.39,-0.14,0.01
Cautious,0.14,-0.32,0.39,0.12,-0.03
Strict,-0.14,-0.04,0.38,0.12,-0.11
Purposeful,0.11,0.15,0.38,-0.1,0.19
Dignified,0.06,0.07,0.38,0,0.04
Formal,0.07,-0.09,0.37,0.14,-0.14
Perfectionistic,-0.07,-0.07,0.37,0.16,0.13
Mature,0.2,-0.01,0.37,-0.21,0.2
Industrious,0.07,0.12,0.36,-0.14,0.25
Stern,-0.29,0.02,0.36,0.01,-0.15
Controlled,0.11,-0.17,0.36,-0.22,-0.02
Alert,0.11,0.16,0.36,-0.09,0.2
Rational,0.13,-0.08,0.35,-0.24,0.32
Thrifty,0.12,-0.14,0.34,-0.12,-0.03
Ambitious,0.04,0.28,0.34,0.03,0.11
Conservative,0.09,-0.2,0.32,0,-0.28
Wise,0.07,0.08,0.3,-0.21,0.28
Sophisticated,0.14,0.13,0.3,0.07,0.18
Foresighted,0.12,-0.02,0.29,-0.11,0.27
Deliberate,-0.08,0,0.28,-0.09,0.12
Refined,0.25,-0.05,0.27,0.07,0.15
Principled,0.2,-0.08,0.27,-0.1,0.15
Cultured,0.21,0.05,0.27,0.06,0.18
Objective,0.15,-0.04,0.27,-0.16,0.22
Moralistic,0.23,-0.11,0.26,0.07,-0.23
Discreet,0.24,-0.26,0.26,-0.09,0.18
Poised,0.18,0.13,0.26,-0.11,0.12
Disorganized,0.01,0.01,-0.64,-0.06,0.07
Haphazard,-0.1,0.04,-0.57,0,-0.09
Disorderly,-0.08,0.05,-0.57,-0.13,0.05
Careless,-0.09,0.06,-0.57,-0.01,-0.04
Inefficient,0.01,-0.16,-0.54,-0.04,0.06
Impractical,-0.06,-0.02,-0.53,0.11,-0.01
Unreliable,-0.18,0.02,-0.51,-0.01,0.01
Inconsistent,-0.06,-0.05,-0.51,0.22,0.06
Absent-minded,0.02,-0.1,-0.5,0.05,0.09
Scatterbrained,0.13,0.01,-0.47,0.15,-0.01
Illogical,0.07,0,-0.46,0.14,-0.14
Sloppy,-0.1,-0.01,-0.46,-0.17,0.08
Undependable,-0.13,0,-0.45,-0.04,0.1
Immature,-0.05,0,-0.44,0.16,-0.09
Erratic,-0.13,-0.01,-0.43,0.19,0.12
Negligent,-0.16,-0.07,-0.43,0.03,-0.12
Reckless,-0.21,0.18,-0.43,-0.03,0.07
Indecisive,0.12,-0.27,-0.41,0.2,-0.09
Forgetful,0.02,-0.06,-0.4,0.08,0.02
Lazy,-0.02,-0.24,-0.4,0.1,-0.02
Unstable,0,-0.2,-0.39,0.28,0.05
Aimless,-0.07,-0.21,-0.38,-0.16,-0.05
Foolhardy,-0.02,0.14,-0.38,0,-0.18
Impulsive,0.06,0.26,-0.37,0.21,0.06
Lax,0.02,-0.09,-0.36,-0.08,-0.09
Wishy-washy,0.07,-0.26,-0.33,0.14,-0.06
Wasteful,-0.06,0.06,-0.32,0.09,-0.03
Unambitious,0.06,-0.27,-0.3,-0.09,-0.03
Frivolous,0.07,0.09,-0.3,0.21,-0.04
Rash,-0.18,0.11,-0.29,0.12,-0.04
Unsophisticated,0.03,-0.17,-0.25,-0.22,-0.1
Dishonest,-0.2,0.01,-0.25,0.05,0.05
Unobservant,0.04,-0.12,-0.24,-0.12,-0.23
Indiscreet,-0.11,0.14,-0.21,-0.03,-0.16
Lustful,-0.16,0.07,-0.2,0.12,0.11
Indulgent,0.04,0.11,-0.18,0.1,0.09
Transparent,0.08,-0.03,-0.13,0.1,-0.12
Moody,-0.13,-0.17,-0.07,0.53,0.04
Touchy,-0.06,-0.15,0.01,0.51,-0.14
Temperamental,-0.2,-0.05,-0.05,0.51,0.01
Irritable,-0.27,-0.11,-0.01,0.49,-0.03
Emotional,0.38,0.12,-0.09,0.49,-0.02
Jealous,-0.09,-0.07,-0.06,0.47,-0.1
Envious,-0.04,-0.12,-0.1,0.47,-0.08
Possessive,-0.07,-0.01,0.11,0.46,-0.07
Fretful,0.07,-0.24,-0.07,0.45,-0.05
Impatient,-0.23,0,-0.02,0.44,0.01
Self-pitying,-0.03,-0.36,-0.08,0.43,-0.03
Nervous,0.08,-0.23,-0.05,0.42,-0.05
Crabby,-0.24,-0.15,-0.01,0.42,-0.07
Defensive,-0.17,-0.17,-0.04,0.41,-0.05
Grumpy,-0.27,-0.19,-0.03,0.4,-0.07
High-strung,-0.03,0.1,-0.08,0.4,0.03
Insecure,0.06,-0.36,-0.29,0.39,0.02
Cranky,-0.3,-0.08,-0.05,0.39,-0.11
Fearful,0.18,-0.24,-0.06,0.38,-0.12
Faultfinding,-0.31,-0.1,0.05,0.38,-0.02
Quarrelsome,-0.36,0.11,-0.01,0.38,-0.05
Anxious,0.05,-0.02,0,0.38,-0.13
Finicky,-0.06,-0.06,0.07,0.35,-0.02
Snobbish,-0.25,0,-0.05,0.33,0.08
Bossy,-0.31,0.3,0.04,0.32,-0.02
Gossipy,0.08,0.13,-0.19,0.32,-0.15
Nosey,-0.04,0.16,-0.15,0.32,-0.14
Selfish,-0.24,-0.16,-0.14,0.31,0.21
Excitable,0.22,0.3,-0.07,0.31,-0.1
Restless,-0.1,0.05,-0.2,0.3,0.07
Compulsive,-0.02,0.12,-0.26,0.26,0.02
Hypocritical,-0.16,-0.09,-0.18,0.26,-0.14
Obsessive,-0.18,-0.05,-0.12,0.25,-0.04
Meddlesome,-0.05,0.16,-0.08,0.25,-0.16
Extravagant,0.01,0.21,-0.13,0.24,0
Volatile,-0.05,0.11,-0.08,0.22,-0.03
Self-indulgent,-0.09,0.08,-0.15,0.22,0.13
Superstitious,0.05,0.05,-0.08,0.1,-0.09
Relaxed,0.21,0.17,0.04,-0.48,-0.02
Unemotional,-0.3,-0.26,0.08,-0.47,0.05
Patient,0.43,-0.13,0.11,-0.44,0.07
Masculine,-0.34,0.01,0.05,-0.43,0.1
Undemanding,0.3,-0.23,-0.13,-0.42,0
Easy-going,0.3,0.22,-0.15,-0.41,-0.06
Unexcitable,-0.19,-0.34,0.04,-0.41,0.13
Courageous,-0.08,0.33,0.1,-0.35,0.07
Brave,-0.09,0.3,0.13,-0.35,0.07
Informal,0.07,0.01,-0.26,-0.33,0.23
Down-to-earth,0.24,-0.01,0.14,-0.28,0.09
Passionless,-0.19,-0.21,0.03,-0.28,0.03
Earthy,0.22,-0.03,-0.01,-0.26,0.18
Nonchalant,-0.01,0.04,-0.09,-0.26,0.03
Unassuming,0.16,-0.18,-0.14,-0.26,0.16
Casual,0.12,0.08,-0.16,-0.25,0
Weariless,-0.01,0.18,0.08,-0.23,0.06
Intelligent,0.03,0.03,0.16,-0.13,0.55
Intellectual,-0.02,0.04,0.21,-0.08,0.5
Smart,0.03,0.02,0.18,-0.17,0.49
Complex,0,-0.1,-0.04,0.14,0.48
Philosophical,0.03,-0.03,0.01,-0.04,0.47
Innovative,0.04,0.13,0.09,-0.16,0.44
Bright,0.09,0.12,0.12,-0.12,0.44
Unconventional,-0.02,0.03,-0.32,-0.1,0.44
Knowledgeable,0.02,0.05,0.26,-0.16,0.43
Deep,0.2,-0.07,0.03,0.01,0.43
Ingenious,-0.02,0.11,0.06,-0.18,0.43
Inquisitive,0.05,0.09,-0.03,0,0.43
Insightful,0.11,-0.04,0.01,-0.1,0.42
Nonconforming,-0.09,0.04,-0.17,-0.17,0.42
Analytical,-0.08,-0.12,0.27,-0.02,0.42
Introspective,0.12,-0.26,-0.05,0.05,0.41
Contemplative,0.15,-0.24,0.02,0.03,0.41
Perceptive,0.14,0.04,0.19,-0.04,0.4
Articulate,0.07,0.1,0.15,0.01,0.38
Inventive,-0.04,0.16,0.06,-0.17,0.36
Creative,0.07,0.1,0,-0.08,0.33
Shrewd,-0.33,0.02,0.02,-0.09,0.33
Individualistic,-0.17,0.08,0.06,-0.13,0.33
Clever,-0.09,0.18,0.14,-0.21,0.33
Intense,-0.02,0.12,0.11,0.12,0.31
Imaginative,0.05,0.14,-0.04,-0.05,0.31
Independent,-0.14,0.2,0.18,-0.2,0.3
Self-critical,0.18,-0.21,0.03,0.24,0.3
Progressive,0.15,0.16,0.17,-0.08,0.28
Diplomatic,0.23,0.08,0.13,-0.06,0.28
Empathic,0.22,-0.01,-0.01,0.03,0.28
Versatile,0.12,0.16,0.09,-0.23,0.27
Distrustful,-0.27,-0.19,-0.11,0.18,0.27
Idealistic,0.18,0.02,-0.1,0.12,0.26
Eloquent,0.1,0.18,0.16,0,0.25
Artistic,0.12,0.01,0.01,0.01,0.25
Candid,-0.01,0.15,-0.06,-0.1,0.25
Worldly,-0.04,0.2,0.09,-0.04,0.24
Unpredictable,0.03,0.1,-0.17,0.12,0.23
Scrupulous,0.04,-0.11,0.12,-0.09,0.23
Curious,0.05,0.13,0.02,0.05,0.23
Tenacious,-0.06,0.1,0.1,-0.05,0.22
Animated,0.17,0.13,-0.19,0.05,0.21
Sensual,0.12,0.16,-0.13,0.16,0.2
Ethical,0.2,-0.17,0.18,-0.1,0.2
Autonomous,-0.03,-0.1,0.13,-0.12,0.18
Subjective,0.04,-0.01,-0.02,0.05,0.06
Simple,0.12,-0.13,0.01,-0.17,-0.45
Conventional,0.12,-0.13,0.33,-0.06,-0.38
Traditional,0.14,-0.14,0.28,0.02,-0.36
Uninquisitive,-0.03,-0.21,0,-0.14,-0.35
Unintelligent,0.07,-0.09,-0.16,-0.02,-0.34
Surly,-0.24,0.03,0.13,-0.04,-0.31
Pompous,-0.16,0.12,0.07,0.08,-0.31
Dependent,0.22,-0.14,-0.07,0.18,-0.29
Shallow,-0.1,-0.12,-0.09,-0.03,-0.29
Unintellectual,0.1,-0.1,-0.2,-0.09,-0.27
Patronizing,-0.02,0.03,0.04,0.06,-0.27
Ignorant,0.04,-0.07,-0.18,0.02,-0.27
Inarticulate,0.03,-0.15,-0.12,-0.12,-0.26
Pretentious,-0.15,0.14,-0.02,0.1,-0.25
Unscrupulous,-0.06,0.08,-0.06,-0.05,-0.24
Predictable,0.04,-0.19,0.14,-0.19,-0.22
Condescending,-0.11,-0.07,0.06,0.06,-0.15
Dogmatic,-0.1,-0.04,0.06,0.01,-0.11
